Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount Percent
InnoQ,24 inch,HD Ready,LED,Unknown,3.9,4206,483,4990.0,19990.0,75.0
MOTOROLA,43 inch,Ultra HD (4K),LED,Google TV,4.3,5921,564,22999.0,49990.0,53.0
Vu,55 inch,Ultra HD (4K),LED,Google TV,4.4,16847,2883,35149.0,65000.0,45.0
Thomson,55 inch,Ultra HD (4K),LED,Google TV,4.5,40044,9550,26999.0,44999.0,40.0
Infinix,43 inch,Full HD,QLED,Google TV,4.0,276,28,16999.0,24999.0,32.0
Thomson,65 inch,Ultra HD (4K),QLED,Google TV,4.4,23903,4283,44999.0,84999.0,47.0
Mi,50 inch,Ultra HD (4K),LED,Google TV,4.3,123713,11311,33990.0,49999.0,32.0
MarQ,24 inch,HD Ready,LED,Coolita,4.2,6529,638,7099.0,19990.0,64.0
LG,65 inch,Ultra HD (4K),LED,WebOS,4.4,34621,3285,64990.0,114990.0,43.0
Mi,55 inch,Ultra HD (4K),QLED,Google TV,4.1,485,36,49999.0,70999.0,29.0
Thomson,55 inch,Ultra HD (4K),LED,Android,4.3,26869,5534,24999.0,46999.0,46.0
SONY,55 inch,Ultra HD (4K),LED,Google TV,4.6,25345,4410,54990.0,99900.0,44.0
KODAK,50 inch,Ultra HD (4K),LED,Google TV,4.5,23214,6450,26999.0,41999.0,35.0
REDMI,55 inch,Ultra HD (4K),LED,FireTv OS 7,4.2,9933,627,35999.0,54999.0,34.0
Blaupunkt,50 inch,Ultra HD (4K),QLED,Google TV,4.5,8589,2115,27999.0,49999.0,44.0
Hisense,65 inch,Ultra HD (4K),QLED,Google TV,4.3,2135,407,63999.0,99999.0,36.0
TCL,50 inch,Ultra HD (4K),QLED,Google TV,4.2,741,71,33990.0,114990.0,70.0
MOTOROLA,40 inch,Full HD,LED,Google TV,4.2,8135,790,17999.0,28999.0,37.0
SAMSUNG,50 inch,Ultra HD (4K),LED,Tizen,4.3,15222,1096,42990.0,61900.0,30.0
acerpure,43 inch,Ultra HD (4K),QLED,Google TV,4.3,860,161,25999.0,49990.0,47.0
Mi,43 inch,Ultra HD (4K),LED,Google TV,4.3,29031,2850,30999.0,49999.0,38.0
