Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount
MOTOROLA,65 inch,Ultra HD (4K),LED,Google TV,4.3,"5,921",564,"₹41,999","₹63,999",34% off
Thomson,55 inch,Ultra HD (4K),QLED,Google TV,4.4,"23,903","4,283","₹31,999","₹59,999",46% off
SAMSUNG,55 inch,Ultra HD (4K),LED,Tizen,4.3,"15,222","1,096","₹44,990","₹64,900",30% off
Thomson,43 inch,Full HD,LED,Android,4.3,"1,21,233","21,447","₹16,999","₹29,999",43% off
TCL,65 inch,Ultra HD (4K),QLED,Google TV,4.1,"3,014",271,"₹53,990","₹1,28,990",58% off
Blaupunkt,43 inch,Full HD,LED,Android,4.4,"15,767","3,375","₹17,499","₹29,999",41% off
acerpure,32 inch,HD Ready,QLED,Google TV,4.3,860,161,"₹12,999","₹27,990",53% off
iFFALCON,40 inch,Full HD,LED,Android,4.2,"68,411","7,625","₹14,999","₹38,990",61% off
TCL,65 inch,Ultra HD (4K),LED,Google TV,4.1,"24,978","2,097","₹46,990","₹1,24,990",62% off
Acer,55 inch,Ultra HD (4K),LED,Google TV,4.2,"27,029","2,917","₹29,999","₹59,999",50% off
MarQ,24 inch,HD Ready,LED,,4.1,"6,146",504,"₹5,999","₹15,000",60% off
Mi,43 inch,Ultra HD (4K),QLED,Google TV,4.1,485,36,"₹34,990","₹50,999",31% off
ONIDA,32 inch,HD Ready,LED,Android,4.2,649,72,"₹13,199","₹19,990",33% off
SENS,40 inch,Full HD,LED,Google TV,4.2,"4,207",598,"₹14,899","₹34,990",57% off
SAMSUNG,43 inch,Ultra HD (4K),LED,Tizen,4.3,"38,242","3,024","₹32,990","₹54,900",39% off
Vu,43 inch,Ultra HD (4K),LED,Google TV,4.4,"16,847","2,883","₹25,999","₹40,000",35% off
KODAK,32 inch,HD Ready,LED,Android,4.4,"39,316","7,634","₹10,499","₹17,999",41% off
Haier,55 inch,Ultra HD (4K),LED,Google TV,4.3,520,56,"₹39,891","₹60,990",34% off
LG,55 inch,Ultra HD (4K),LED,WebOS,4.4,"34,621","3,285","₹43,990","₹71,990",38% off
Daiwa,32 inch,HD Ready,QLED,Google TV,4.1,905,209,"₹9,999","₹25,990",61% off
TCL,55 inch,Ultra HD (4K),QLED,Google TV,4.2,741,71,"₹41,990","₹1,21,990",65% off
Daiwa,43 inch,Full HD,LED,Linux,4.2,"2,555",257,"₹13,999","₹27,990",49% off
Vu,50 inch,Ultra HD (4K),LED,Google TV,4.4,"16,847","2,883","₹29,499","₹55,000",46% off
Sansui,43 inch,Ultra HD (4K),LED,Android,4.2,"2,482",228,"₹20,999","₹35,390",40% off
MOTOROLA,50 inch,Ultra HD (4K),QLED,Google TV,4.3,"10,401","1,049","₹29,999","₹53,999",44% off
KODAK,42 inch,Full HD,LED,Android,4.4,"39,316","7,634","₹15,499","₹28,499",45% off
TCL,75 inch,Ultra HD (4K),QLED,Google TV,4.1,"3,014",271,"₹69,990","₹2,58,990",72% off
InnoQ,24 inch,HD Ready,LED,,3.9,"4,206",483,"₹4,990","₹19,990",75% off
MOTOROLA,43 inch,Ultra HD (4K),LED,Google TV,4.3,"5,921",564,"₹22,999","₹49,990",53% off
Vu,55 inch,Ultra HD (4K),LED,Google TV,4.4,"16,847","2,883","₹35,149","₹65,000",45% off
Thomson,55 inch,Ultra HD (4K),LED,Google TV,4.5,"40,044","9,550","₹26,999","₹44,999",40% off
Infinix,43 inch,Full HD,QLED,Google TV,4,276,28,"₹16,999","₹24,999",32% off
